[CodiGrup] varchar PRIMARY KEY;Grup;Posicio;[Comptes] csv
BAI;BAI, Resultat Abans d'Impostos;23;
 FIN;Despeses financeres;22;
 EBIT;EBIT, Resultat Operatiu;21;
  AMORT;Amortitzacions;19;
  PROV;Provisions i deterior. immobilitzat;20;
  EBITDA;EBITDA;18;
   RVI;Resultat venda immobilitzat;16;67000000001,77100000004
   PROVC;Provisions i deterior. comercial;17;
   ING;Ingressos per serveis de grup;1;70500000500,70500000501,70500001501,70500000300,70500000301,70500001301,70500000700,70500000701,70500001701,70500001000,70500001001,70500011001,70500000600,70500000601,70500001601,70500000400,70500000401,70500000100,70500000200,70500000201,70500000018,70500000750,70500000760
   OPEX;OPEX;15;
    SOUS;Sous i salaris a refacturar al grup;2;64001000010,64001000011,64001000012,64200000000,64200000010,64200000011,73300100000,60200000102,64000000100,60200000104,64001000013,73300100001,73300100002,64001000014,64000000011,62300000022
    MANT;Manteniments;3;62200000099,62200000000,62200000014,62900000010,62215000000,62200000010,62200000025,62100000010
    INFO;Manteniments informàtics;4;62216000009,62216000010,62216000008,60200000103,60310000001,62216000021,62216000012,62216000001
    TEE;Tarifa elèctrica empleats;5;64900100010
    SUBMN;Subministraments;6;62820000000,62800000001
    DESPESES6;Despeses generals;7;
     GRAL1;Assegurances;8;62500000025
     GRAL2;Subscripcions i associacions;9;
     GRAL3;Comissions bancàries;10;
     GRAL4;Material oficina;11;62950000011
     GRAL5;selecció de personal;11;
     GRAL6;Tributs, taxes;13;63100000010,63100000029,62300000026
     GRAL7;Dietes i desplaçaments;14;
